# Tab-separated: LongText <TAB> ShortText
# Lines starting with # are ignored. Blank lines ignored.
LongText	ShortText
ASHBURTON	ASBTN
AUCKLAND	AUCK
BLENHEIM	BLEN
CHRISTCHURCH	CHCH
DUNEDIN	DNDN
GISBORNE	GISB
GREYMOUTH	GYMTH
HAMILTON	HAM
HASTINGS	HAST
HOKITIKA	BLEN
INVERCARGILL	INGIL
MASTERTON	MAST
NELSON	NLSON
NEW PLYMOUTH	NPLYM
OAMARU	OMARU
PALMERSTON NORTH	PNTH
QUEENSTOWN	QNSTN
ROTORUA	RTRUA
TAURANGA	TGA
TIMARU	TMARU
WELLINGTON	WGTN
WHANGAREI	WREI
KAITAIA	KTAIA
KERIKERI	KRIRI
CROMWELL	CRMWL
TAUPO	TAUPO
THAMES	THMES
